SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S00010	Acheta domesticus	x	x	-	x	x	x	x	x	x	x	x	x	x	x	13	.
S00020	Acheta gossypii	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S00030	Acheta hispanicus	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S00040	Gryllodinus kerkennensis	-	-	-	-	-	-	x	-	x	-	x	-	x	x	5	.
S00050	Gryllodinus odicus	-	-	-	-	-	-	-	-	-	-	x	-	x	x	3	.
S00060	Gryllus (Gryllus) bimaculatus	-	-	-	x	-	-	x	x	x	x	x	x	x	x	9	.
S00070	Gryllus (Gryllus) campestris	x	x	-	x	x	x	x	x	x	x	x	x	x	x	13	.
S00080	Melanogryllus desertus	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S00090	Svercus palmetorum	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00100	Tartarogryllus sandanski	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S00110	Tartarogryllus tartarus	-	-	-	-	-	-	-	-	x	x	x	x	x	x	6	.
S00120	Eumodicogryllus bordigalensis	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S00130	Eumodicogryllus theryi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00140	Gryllodes sigillatus	x	-	-	x	x	-	-	-	-	-	-	-	-	x	4	probably not free-living
S00150	Gryllopsis caspicus	-	-	-	-	-	-	-	-	-	-	-	x	-	-	1	.
S00160	Modicogryllus (Modicogryllus) algirius	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S00170	Modicogryllus (Modicogryllus) frontalis	-	-	-	x	x	x	-	-	x	-	x	x	x	x	8	.
S00180	Modicogryllus (Modicogryllus) pallipalpis	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S00190	Modicogryllus (Modicogryllus) truncatus	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S00200	Brachytrupes megacephalus	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S00210	Grylloderes brunneri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00220	Grylloderes orlovskajae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00230	Sciobia (Sciobia) barbara	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S00240	Sciobia (Sciobia) boscai	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00250	Sciobia (Sciobia) lusitanica	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S00260	Sciobia (Thliptoblemmus) caliendra	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S00270	Sciobia (Thliptoblemmus) natalia	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00280	Turanogryllus lateralis	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S00290	Eugryllodes escalerae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00300	Eugryllodes littoreus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00310	Eugryllodes pipiens	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S00320	Gryllomorpha (Gryllomorpha) dalmatina	-	-	-	x	-	-	x	x	x	x	x	-	x	x	8	.
S00330	Gryllomorpha (Gryllomorpha) longicauda	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00340	Gryllomorpha (Gryllomorphella) albanica	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S00350	Gryllomorpha (Gryllomorphella) miramae	-	-	-	-	-	-	-	-	-	x	x	x	-	x	4	.
S00360	Gryllomorpha (Gryllomorphella) uclensis	-	-	-	x	x	-	x	x	-	-	-	-	-	x	5	.
S00370	Acroneuroptila puddui	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00380	Acroneuroptila sardoa	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00390	Ovaliptila buresi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S00400	Ovaliptila kinzelbachi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S00410	Ovaliptila krueperi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S00420	Ovaliptila lindbergi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S00430	Ovaliptila nana	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S00440	Ovaliptila newmanae	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S00450	Ovaliptila rhodos	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S00460	Ovaliptila wettsteini	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S00470	Ovaliptila willemsei	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S00480	Petaloptila (Italoptila) andreinii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00490	Petaloptila (Petaloptila) aliena	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00500	Petaloptila (Petaloptila) clauseri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00510	Petaloptila (Petaloptila) fermini 	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00520	Petaloptila (Petaloptila) fragosoi	-	-	-	-	-	-	x	-	x	-	x	-	-	-	3	.
S00530	Petaloptila (Petaloptila) isabelae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00540	Petaloptila (Petaloptila) pallescens	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00550	Petaloptila (Petaloptila) pyrenaea	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00560	Petaloptila (Petaloptila) sbordonii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00570	Petaloptila (Zapetaloptila) baenai 	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00580	Petaloptila (Zapetaloptila) barrancoi 	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00590	Petaloptila (Zapetaloptila) bolivari	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00600	Petaloptila (Zapetaloptila) carabajali	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00610	Petaloptila (Zapetaloptila) llorenteae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00620	Petaloptila (Zapetaloptila) malacitana	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00630	Petaloptila (Zapetaloptila) mogon	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00640	Petaloptila (Zapetaloptila) venosa	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00650	Oecanthus dulcisonans	-	-	-	-	-	-	-	x	x	x	-	-	-	x	4	.
S00660	Oecanthus pellucens	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S00670	Oecanthus turanicus	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S00680	Arachnocephalus vestitus	-	-	-	x	-	-	x	x	x	x	x	-	-	x	7	.
S00690	Pseudomogoplistes byzantius	-	-	-	-	-	-	-	-	-	x	x	-	-	-	2	.
S00700	Pseudomogoplistes squamiger	x	-	-	x	-	-	x	x	x	x	-	-	-	x	7	.
S00710	Pseudomogoplistes vicentae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00720	Mogoplistes brunneus	-	-	-	x	-	-	x	x	x	x	-	-	-	x	6	.
S00730	Mogoplistes kinzelbachi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S00740	Paramogoplistes dentatus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00750	Paramogoplistes novaki	-	-	-	-	-	-	-	x	x	x	-	-	-	-	3	.
S00760	Paramogoplistes ortini	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00770	Nemobius interstitialis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S00780	Nemobius sylvestris	x	-	-	x	x	-	x	x	x	-	x	-	-	x	8	.
S00790	Pteronemobius (Pteronemobius) heydenii	-	-	-	x	x	-	x	x	x	x	x	-	x	x	9	.
S00800	Pteronemobius (Stilbonemobius) lineolatus	-	-	-	x	-	-	x	x	-	-	-	-	-	-	3	.
S00810	Stenonemobius (Ocellonemobius) bicolor	-	-	-	-	-	-	-	-	-	-	x	-	-	-	1	.
S00820	Stenonemobius (Stenonemobius) gracilis	-	-	-	-	-	-	x	x	x	x	x	x	x	x	8	.
S00830	Natula averni	-	-	-	-	-	-	-	x	-	x	-	-	-	x	3	.
S00840	Trigonidium (Trigonidium) cicindeloides	-	-	-	x	-	-	x	x	x	x	-	-	-	x	6	.
S00850	Gryllotalpa africana	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S00860	Gryllotalpa cossyrensis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S00870	Gryllotalpa gryllotalpa	x	x	-	x	x	x	x	x	x	-	x	-	-	(x)	9	.
