SpecID	Species	H01_Marshes_and_reeds	H02_Moist_grassland	H03_Mesic_grassland	H04_Dry_grassland	H05_Herbal_grasslands	H06_Rural_areas	H07_Open_ground	H08_Shrubs_and_heath	H09_Dry_bushland	H10_Mesic_bushland	H11_Forest_margins	H12_Woodlands	H13_Subalpine_shrubs	H14_Subalpine_grassland	H15_Alpine_rocks	H16_Ponds_and_streams	H17_Dunes_and_beaches	H18_Lowland_rocky_habitats	H19_Rocks_and_walls	H20_Domestic_habitats	H21_Caves	H22_Ants	U01_Bushes_and_trees	U02_Dense_vegetation	U03_Ground_and_vegetation	U04_Ground_dwelling	U05_Subterranean	U06_Diurnal	U07_Diurnal_and_nocturnal	U08_Nocturnal	U09_Spring	U10_Summer	U11_Winter	RemarksHabitat
S00010	Acheta domesticus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	x	-	-	-	x	x	x	-	.
S00020	Acheta gossypii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00030	Acheta hispanicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00040	Gryllodinus kerkennensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00050	Gryllodinus odicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00060	Gryllus (Gryllus) bimaculatus	-	-	-	x	-	x	x	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	x	x	-	x	-	x	x	-	.
S00070	Gryllus (Gryllus) campestris	-	-	x	x	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	x	-	x	x	-	.
S00080	Melanogryllus desertus	-	-	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	x	-	x	x	-	.
S00090	Svercus palmetorum	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	x	-	.
S00100	Tartarogryllus sandanski	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S00110	Tartarogryllus tartarus	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	x	x	-	x	-	x	x	-	.
