SpecID	Species	Wings	Green	Brown	Combined	Polymorphic	Pied	SexualDimorphism	AgeDependence	OtherVariants	RemarksMorphs	SourceMorphs
S00010	Acheta domesticus	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00020	Acheta gossypii	long	absent	mono	absent-mono	brown	absent	absent	absent	.	only once ever recorded	.
S00030	Acheta hispanicus	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	google search only few individuals
S00040	Gryllodinus kerkennensis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00050	Gryllodinus odicus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	multiple google search images
S00060	Gryllus (Gryllus) bimaculatus	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00070	Gryllus (Gryllus) campestris	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00080	Melanogryllus desertus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00090	Svercus palmetorum	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00100	Tartarogryllus sandanski	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00110	Tartarogryllus tartarus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00120	Eumodicogryllus bordigalensis	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00130	Eumodicogryllus theryi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00140	Gryllodes sigillatus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00150	Gryllopsis caspicus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	multiple google search images
S00160	Modicogryllus (Modicogryllus) algirius	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00170	Modicogryllus (Modicogryllus) frontalis	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00180	Modicogryllus (Modicogryllus) pallipalpis	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00190	Modicogryllus (Modicogryllus) truncatus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00200	Brachytrupes megacephalus	long	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00210	Grylloderes brunneri	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00220	Grylloderes orlovskajae	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00230	Sciobia (Sciobia) barbara	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00240	Sciobia (Sciobia) boscai	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	a few images google search
S00250	Sciobia (Sciobia) lusitanica	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00260	Sciobia (Thliptoblemmus) caliendra	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	few images on google search
S00270	Sciobia (Thliptoblemmus) natalia	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00280	Turanogryllus lateralis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"google search only few individuals, http://www.biodiversity-georgia.net/gallery.php?taxon=Gryllidae"
S00290	Eugryllodes escalerae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00300	Eugryllodes littoreus	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S00310	Eugryllodes pipiens	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00320	Gryllomorpha (Gryllomorpha) dalmatina	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	multiple google search images
S00330	Gryllomorpha (Gryllomorpha) longicauda	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	multiple google search images
S00340	Gryllomorpha (Gryllomorphella) albanica	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00350	Gryllomorpha (Gryllomorphella) miramae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00360	Gryllomorpha (Gryllomorphella) uclensis	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00370	Acroneuroptila puddui	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"google search only two individuals, https://www.researchgate.net/publication/334576289_Contributo_alla_conoscenza_dell%27artropodofauna_della_grotta_di_Giuanniccu_Mene_Monte_Cudias_nel_comune_di_Villaputzu_Sardegna_sud-orientale; https://www.mediterraneaonline.eu/nuove-ricerche-entomologiche-nella-grotta-is-zurrundeddus-ubicata-nel-territorio-di-san-nicolo-gerrei-provincia-del-sud-sardegna/fig-5-acroneuroptila-puddui-1"
S00380	Acroneuroptila sardoa	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S00390	Ovaliptila buresi	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
