SpecID	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Species	Synonyms	AlternativeGenus	Subspecies	RemarksTaxonomy
S00010	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Acheta	Acheta	Acheta domesticus	.	.	.	.
S00020	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Acheta	Acheta	Acheta gossypii	.	.	.	only once ever recorded
S00030	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Acheta	Acheta	Acheta hispanicus	.	.	.	.
S00040	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Gryllodinus	Gryllodinus	Gryllodinus kerkennensis	.	.	.	.
S00050	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Gryllodinus	Gryllodinus	Gryllodinus odicus	.	.	.	.
S00060	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Gryllus	Gryllus (Gryllus)	Gryllus (Gryllus) bimaculatus	.	.	.	.
S00070	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Gryllus	Gryllus (Gryllus)	Gryllus (Gryllus) campestris	.	.	.	.
S00080	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Melanogryllus	Melanogryllus	Melanogryllus desertus	.	.	.	.
S00090	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Svercus	Svercus	Svercus palmetorum	.	also Modicogryllus	.	.
S00100	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Tartarogryllus	Tartarogryllus	Tartarogryllus sandanski	.	.	.	.
S00110	Ensifera	Grylloidea	Gryllidae	Gryllinae	Gryllini	Tartarogryllus	Tartarogryllus	Tartarogryllus tartarus	.	.	.	.
S00120	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Eumodicogryllus	Eumodicogryllus	Eumodicogryllus bordigalensis	.	.	.	.
S00130	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Eumodicogryllus	Eumodicogryllus	Eumodicogryllus theryi	.	.	.	.
S00140	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Gryllodes	Gryllodes	Gryllodes sigillatus	.	.	.	.
S00150	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Gryllopsis	Gryllopsis	Gryllopsis caspicus	.	.	.	.
S00160	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Modicogryllus	Modicogryllus (Modicogryllus)	Modicogryllus (Modicogryllus) algirius	.	.	.	.
S00170	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Modicogryllus	Modicogryllus (Modicogryllus)	Modicogryllus (Modicogryllus) frontalis	.	.	.	.
S00180	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Modicogryllus	Modicogryllus (Modicogryllus)	Modicogryllus (Modicogryllus) pallipalpis	.	.	.	.
S00190	Ensifera	Grylloidea	Gryllidae	Gryllinae	Modicogryllini	Modicogryllus	Modicogryllus (Modicogryllus)	Modicogryllus (Modicogryllus) truncatus	.	.	.	.
S00200	Ensifera	Grylloidea	Gryllidae	Gryllinae	Other Gryllinae	Brachytrupes	Brachytrupes	Brachytrupes megacephalus	.	.	.	.
S00210	Ensifera	Grylloidea	Gryllidae	Gryllinae	Other Gryllinae	Grylloderes	Grylloderes	Grylloderes brunneri	.	.	.	.
S00220	Ensifera	Grylloidea	Gryllidae	Gryllinae	Other Gryllinae	Grylloderes	Grylloderes	Grylloderes orlovskajae	.	.	.	.
S00230	Ensifera	Grylloidea	Gryllidae	Gryllinae	Sciobiini	Sciobia	Sciobia (Sciobia)	Sciobia (Sciobia) barbara	.	.	.	.
S00240	Ensifera	Grylloidea	Gryllidae	Gryllinae	Sciobiini	Sciobia	Sciobia (Sciobia)	Sciobia (Sciobia) boscai	.	.	.	.
S00250	Ensifera	Grylloidea	Gryllidae	Gryllinae	Sciobiini	Sciobia	Sciobia (Sciobia)	Sciobia (Sciobia) lusitanica	.	.	.	.
S00260	Ensifera	Grylloidea	Gryllidae	Gryllinae	Sciobiini	Sciobia	Sciobia (Thliptoblemmus)	Sciobia (Thliptoblemmus) caliendra	Sciobia caliendrum	.	.	.
S00270	Ensifera	Grylloidea	Gryllidae	Gryllinae	Sciobiini	Sciobia	Sciobia (Thliptoblemmus)	Sciobia (Thliptoblemmus) natalia	.	.	.	.
S00280	Ensifera	Grylloidea	Gryllidae	Gryllinae	Turanogryllini	Turanogryllus	Turanogryllus	Turanogryllus lateralis	.	.	.	.
S00290	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Eugryllodes	Eugryllodes	Eugryllodes escalerae	.	.	.	.
S00300	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Eugryllodes	Eugryllodes	Eugryllodes littoreus	.	.	.	.
S00310	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Eugryllodes	Eugryllodes	Eugryllodes pipiens	.	.	.	.
S00320	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Gryllomorpha	Gryllomorpha (Gryllomorpha)	Gryllomorpha (Gryllomorpha) dalmatina	.	.	"including cretensis, pieperi and schmidti"	.
S00330	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Gryllomorpha	Gryllomorpha (Gryllomorpha)	Gryllomorpha (Gryllomorpha) longicauda	.	.	including merobricensis	.
S00340	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Gryllomorpha	Gryllomorpha (Gryllomorphella)	Gryllomorpha (Gryllomorphella) albanica	.	.	.	.
S00350	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Gryllomorpha	Gryllomorpha (Gryllomorphella)	Gryllomorpha (Gryllomorphella) miramae	.	.	including guentheri	.
S00360	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Gryllomorphini	Gryllomorpha	Gryllomorpha (Gryllomorphella)	Gryllomorpha (Gryllomorphella) uclensis	.	.	.	.
S00370	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Acroneuroptila	Acroneuroptila	Acroneuroptila puddui	.	.	.	.
S00380	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Acroneuroptila	Acroneuroptila	Acroneuroptila sardoa	.	.	.	.
S00390	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila buresi	.	also Discoptila	.	.
S00400	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila kinzelbachi	.	also Discoptila	.	.
S00410	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila krueperi	.	also Discoptila	.	.
S00420	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila lindbergi	.	also Discoptila	.	.
S00430	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila nana	.	.	.	.
S00440	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila newmanae	.	also Discoptila	.	.
S00450	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila rhodos	.	.	.	.
S00460	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila wettsteini	.	.	.	.
S00470	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Ovaliptila	Ovaliptila	Ovaliptila willemsei	.	also Discoptila	.	.
S00480	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Italoptila)	Petaloptila (Italoptila) andreinii	.	.	.	.
S00490	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) aliena	Discoptila eitschbergeri	.	.	.
S00500	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) clauseri	.	"also Discoptila, Ovaliptila"	.	only holotype known
S00510	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) fermini 	.	.	.	.
S00520	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) fragosoi	.	"also Discoptila, Ovaliptila"	.	.
S00530	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) isabelae	.	.	.	.
S00540	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) pallescens	.	.	.	.
S00550	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) pyrenaea	.	.	.	.
S00560	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Petaloptila)	Petaloptila (Petaloptila) sbordonii	.	"also Discoptila, Ovaliptila"	.	.
S00570	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) baenai 	.	.	.	.
S00580	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) barrancoi 	.	.	.	.
S00590	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) bolivari	.	.	.	.
S00600	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) carabajali	.	.	.	.
S00610	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) llorenteae	.	.	.	.
S00620	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) malacitana	.	.	.	.
S00630	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) mogon	.	.	.	.
S00640	Ensifera	Grylloidea	Gryllidae	Gryllomorphinae	Petaloptilini	Petaloptila	Petaloptila (Zapetaloptila)	Petaloptila (Zapetaloptila) venosa	.	.	.	.
S00650	Ensifera	Grylloidea	Gryllidae	Oecanthinae	Oecanthini	Oecanthus	Oecanthus	Oecanthus dulcisonans	.	.	.	.
S00660	Ensifera	Grylloidea	Gryllidae	Oecanthinae	Oecanthini	Oecanthus	Oecanthus	Oecanthus pellucens	.	.	.	.
S00670	Ensifera	Grylloidea	Gryllidae	Oecanthinae	Oecanthini	Oecanthus	Oecanthus	Oecanthus turanicus	.	.	.	.
S00680	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Arachnocephalini	Arachnocephalus	Arachnocephalus	Arachnocephalus vestitus	.	.	.	.
S00690	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Arachnocephalini	Pseudomogoplistes	Pseudomogoplistes	Pseudomogoplistes byzantius	.	.	.	.
S00700	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Arachnocephalini	Pseudomogoplistes	Pseudomogoplistes	Pseudomogoplistes squamiger	.	.	.	.
S00710	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Arachnocephalini	Pseudomogoplistes	Pseudomogoplistes	Pseudomogoplistes vicentae	.	.	.	.
S00720	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Mogoplistini	Mogoplistes	Mogoplistes	Mogoplistes brunneus	.	.	.	.
S00730	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Mogoplistini	Mogoplistes	Mogoplistes	Mogoplistes kinzelbachi	.	.	.	.
S00740	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Mogoplistini	Paramogoplistes	Paramogoplistes	Paramogoplistes dentatus	.	.	.	.
S00750	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Mogoplistini	Paramogoplistes	Paramogoplistes	Paramogoplistes novaki	.	.	.	.
S00760	Ensifera	Grylloidea	Mogoplistidae	Mogoplistinae	Mogoplistini	Paramogoplistes	Paramogoplistes	Paramogoplistes ortini	.	.	.	.
S00770	Ensifera	Grylloidea	Trigonidiidae	Nemobiinae	Nemobiini	Nemobius	Nemobius	Nemobius interstitialis	.	.	.	.
S00780	Ensifera	Grylloidea	Trigonidiidae	Nemobiinae	Nemobiini	Nemobius	Nemobius	Nemobius sylvestris	.	.	.	.
S00790	Ensifera	Grylloidea	Trigonidiidae	Nemobiinae	Pteronemobiini	Pteronemobius	Pteronemobius (Pteronemobius)	Pteronemobius (Pteronemobius) heydenii	.	.	.	.
S00800	Ensifera	Grylloidea	Trigonidiidae	Nemobiinae	Pteronemobiini	Pteronemobius	Pteronemobius (Stilbonemobius)	Pteronemobius (Stilbonemobius) lineolatus	.	.	.	.
S00810	Ensifera	Grylloidea	Trigonidiidae	Nemobiinae	Pteronemobiini	Stenonemobius	Stenonemobius (Ocellonemobius)	Stenonemobius (Ocellonemobius) bicolor	.	.	.	.
S00820	Ensifera	Grylloidea	Trigonidiidae	Nemobiinae	Pteronemobiini	Stenonemobius	Stenonemobius (Stenonemobius)	Stenonemobius (Stenonemobius) gracilis	.	.	.	.
S00830	Ensifera	Grylloidea	Trigonidiidae	Trigonidiinae	Trigonidiini	Natula	Natula	Natula averni	.	.	.	.
S00840	Ensifera	Grylloidea	Trigonidiidae	Trigonidiinae	Trigonidiini	Trigonidium	Trigonidium (Trigonidium)	Trigonidium (Trigonidium) cicindeloides	.	.	.	.
S00850	Ensifera	Gryllotalpoidea	Gryllotalpidae	Gryllotalpinae	Gryllotalpini	Gryllotalpa	Gryllotalpa	Gryllotalpa africana	.	.	.	.
S00860	Ensifera	Gryllotalpoidea	Gryllotalpidae	Gryllotalpinae	Gryllotalpini	Gryllotalpa	Gryllotalpa	Gryllotalpa cossyrensis	.	.	.	.
